id,key,value,type
104520,highway,traffic_signals,regular
104521,highway,traffic_signals,regular
104541,highway,mini_roundabout,regular
104541,direction,clockwise,regular
104554,highway,traffic_signals,regular
104558,highway,traffic_signals,regular
104567,bicycle,yes,regular
104567,highway,crossing,regular
104567,crossing,traffic_signals,regular
104567,segregated,yes,regular
104567,crossing_ref,toucan,regular
104572,highway,traffic_signals,regular
104576,highway,traffic_signals,regular
104576,crossing,pedestrian_scramble,regular
104576,source,survey (June 2010),source
214293,ref,36,regular
214293,name,Nine Mile Hill,regular
214293,layer,3,regular
214293,highway,motorway_junction,regular
215998,highway,motorway_junction,regular
216186,name,Four Wentways,regular
216186,highway,motorway_junction,regular
231478,ref,29,regular
231478,name,Bar Hill,regular
231478,fixme,What is with all the layer=3s around this junction?,regular
231478,layer,3,regular
231478,exit_to,Bar Hill B1050; Longstanton,regular
231478,highway,motorway_junction,regular
231550,highway,traffic_signals,regular
328564,ref,11,regular
328564,name,Westfield,regular
328564,exit_to,"Royston A10, Cambridge South A1309",regular
328564,highway,motorway_junction,regular
328568,highway,traffic_signals,regular
489781,highway,mini_roundabout,regular
489781,direction,clockwise,regular
554060,created_by,JOSM,regular
554062,created_by,JOSM,regular
554076,created_by,JOSM,regular
554077,created_by,JOSM,regular
554078,created_by,JOSM,regular
554080,created_by,JOSM,regular
554081,created_by,JOSM,regular
554082,created_by,JOSM,regular
554083,created_by,JOSM,regular
554087,created_by,JOSM,regular
554088,created_by,JOSM,regular
554089,created_by,JOSM,regular
554095,created_by,JOSM,regular
554096,created_by,JOSM,regular
554097,created_by,JOSM,regular
554098,created_by,JOSM,regular
554100,created_by,JOSM,regular
554102,created_by,JOSM,regular
554103,created_by,JOSM,regular
554172,created_by,JOSM,regular
554174,created_by,JOSM,regular
554175,created_by,JOSM,regular
554178,created_by,JOSM,regular
554180,created_by,JOSM,regular
554182,created_by,JOSM,regular
554184,created_by,JOSM,regular
554185,created_by,JOSM,regular
554194,created_by,JOSM,regular
554195,created_by,JOSM,regular
554196,created_by,JOSM,regular
554197,created_by,JOSM,regular
554198,created_by,JOSM,regular
554199,created_by,JOSM,regular
554200,created_by,JOSM,regular
554201,created_by,JOSM,regular
554202,created_by,JOSM,regular
554203,created_by,JOSM,regular
554246,highway,traffic_signals,regular
554250,created_by,JOSM,regular
554251,created_by,JOSM,regular
554252,created_by,JOSM,regular
554253,created_by,JOSM,regular
554254,created_by,JOSM,regular
554255,created_by,JOSM,regular
554257,created_by,JOSM,regular
554258,created_by,JOSM,regular
554260,created_by,JOSM,regular
554261,created_by,JOSM,regular
554263,highway,traffic_signals,regular
554264,created_by,JOSM,regular
554268,highway,traffic_signals,regular
554273,highway,traffic_signals,regular
554296,highway,traffic_signals,regular
569281,created_by,JOSM,regular
569283,created_by,JOSM,regular
608749,ref,35,regular
608749,layer,3,regular
608749,highway,motorway_junction,regular
608761,ref,35,regular
608761,layer,3,regular
608761,highway,motorway_junction,regular
608864,highway,traffic_signals,regular
608867,highway,traffic_signals,regular
608886,bicycle,designated,regular
608886,highway,crossing,regular
608886,crossing,traffic_signals,regular
608886,supervised,no,regular
608886,crossing_ref,toucan,regular
608909,note,needs accurate location,regular
608909,highway,traffic_signals,regular
608909,description,bus priority lights,regular
608910,highway,traffic_signals,regular
609064,highway,traffic_signals,regular
609064,alt_name,Catholic Church junction; Hyde Park Corner,regular
609070,highway,mini_roundabout,regular
609070,direction,clockwise,regular
609778,note,"More correctly, a crossing that has been modified to take bicycles - not a true toucan.",regular
609778,highway,crossing,regular
609778,crossing,traffic_signals,regular
609778,crossing_ref,toucan,regular
609778,cyclestreets_id,51905,regular
609790,highway,traffic_signals,regular
609790,crossing,"definitely not a pedestrian scramble if the wikipedia article is correct, as there is no marking or signage for diagonal crossing",note
609790,cycleway,All approachs have ASLs,note
609797,highway,mini_roundabout,regular
609797,direction,clockwise,regular
609800,highway,mini_roundabout,regular
609800,direction,clockwise,regular
609801,highway,traffic_signals,regular
609801,crossing,pedestrian_scramble,regular
609809,highway,traffic_signals,regular
609820,highway,traffic_signals,regular
609826,ref,34,regular
609826,highway,motorway_junction,regular
620876,ref,33,regular
620876,name,Milton,regular
620876,layer,3,regular
620876,highway,motorway_junction,regular
620895,ref,32,regular
620895,name,Histon,regular
620895,layer,3,regular
620895,highway,motorway_junction,regular
620901,ref,31A,regular
620901,name,Girton Interchange,regular
620901,exit_to,Huntingdon A14,regular
620901,highway,motorway_junction,regular
2758699,ref,31,regular
2758699,name,Girton Interchange,regular
2758699,layer,3,regular
2758699,exit_to,"Newmarket, Felixstowe A14; London M11; Cambridge A1307",regular
2758699,highway,motorway_junction,regular
2758699,layer,Is the layer tag at all relevant for motorway junction nodes?,fixme
3865335,ref,33,regular
3865335,name,Milton,regular
3865335,layer,3,regular
3865335,highway,motorway_junction,regular
5248332,highway,mini_roundabout,regular
5248332,direction,clockwise,regular
5248338,highway,mini_roundabout,regular
5248338,direction,clockwise,regular
5249764,highway,crossing,regular
5249764,crossing,toucan,regular
5249766,traffic_calming,chicane,regular
5276159,note,Speed limit transition,regular
5276159,traffic_sign,city_limit,regular
5276217,created_by,JOSM,regular
5276224,created_by,JOSM,regular
5276231,created_by,JOSM,regular
5276238,created_by,JOSM,regular
5276240,created_by,JOSM,regular
5276254,created_by,JOSM,regular
5276256,created_by,JOSM,regular
5276257,created_by,JOSM,regular
5276258,created_by,JOSM,regular
5276265,created_by,JOSM,regular
5276275,created_by,JOSM,regular
5276276,created_by,JOSM,regular
5276277,created_by,JOSM,regular
5276279,created_by,JOSM,regular
5276287,created_by,JOSM,regular
5276302,created_by,JOSM,regular
5276303,created_by,JOSM,regular
5276306,created_by,JOSM,regular
5276314,created_by,JOSM,regular
5276315,created_by,JOSM,regular
5313529,created_by,JOSM,regular
5313530,highway,mini_roundabout,regular
5313530,direction,clockwise,regular
5313531,created_by,JOSM,regular
5313535,highway,mini_roundabout,regular
5313535,direction,clockwise,regular
5313541,created_by,JOSM,regular
5313543,highway,mini_roundabout,regular
5313543,direction,clockwise,regular
5313571,created_by,JOSM,regular
5313586,created_by,JOSM,regular
5313587,created_by,JOSM,regular
5313590,created_by,JOSM,regular
5313653,highway,traffic_signals,regular
5313655,highway,traffic_signals,regular
5313668,ref,32,regular
5313668,name,Histon,regular
5313668,layer,3,regular
5313668,highway,motorway_junction,regular
5695552,highway,crossing,regular
5695552,crossing,island;uncontrolled,regular
5695581,highway,traffic_signals,regular
6550116,created_by,JOSM,regular
6550117,highway,traffic_signals,regular
6550138,traffic_calming,choker,regular
6550154,highway,traffic_signals,regular
6550164,highway,traffic_signals,regular
6550167,highway,traffic_signals,regular
6550177,created_by,JOSM,regular
6550188,created_by,JOSM,regular
6550189,highway,traffic_signals,regular
6550189,created_by,JOSM,regular
6550192,highway,mini_roundabout,regular
6550192,direction,clockwise,regular
6550197,highway,mini_roundabout,regular
6550197,direction,clockwise,regular
6550202,highway,mini_roundabout,regular
6550204,highway,mini_roundabout,regular
6550215,highway,mini_roundabout,regular
6550215,direction,clockwise,regular
6550253,highway,crossing,regular
6550253,crossing,zebra,regular
6571821,highway,crossing,regular
6571821,crossing,traffic_signals,regular
6571831,highway,traffic_signals,regular
6571843,highway,traffic_signals,regular
6571846,created_by,JOSM,regular
6571876,highway,traffic_signals,regular
6571885,note,needs accurate location,regular
6571885,highway,traffic_signals,regular
6571885,description,bus priority lights,regular
6571937,traffic_calming,hump,regular
6571944,highway,turning_circle,regular
6571950,highway,turning_circle,regular
6572035,highway,mini_roundabout,regular
6572035,direction,clockwise,regular
6572062,bicycle,yes,regular
6572062,highway,crossing,regular
6572062,crossing,traffic_signals,regular
6572062,segregated,no,regular
6572062,crossing_ref,toucan,regular
6572064,highway,mini_roundabout,regular
6572064,direction,clockwise,regular
6572091,highway,traffic_signals,regular
6572104,traffic_calming,table,regular
6572137,note,Transition Between 20 Mph (West) And 30 Mph (East),regular
6572143,highway,traffic_signals,regular
6572145,highway,traffic_signals,regular
6572251,highway,traffic_signals,regular
6572253,highway,traffic_signals,regular
7057302,highway,traffic_signals,regular
8085878,highway,crossing,regular
8085878,crossing,zebra,regular
8085916,name,Cavendish Avenue,regular
8085916,abutters,residential,regular
8093698,foot,yes,regular
8093698,source,survey,regular
8093698,bicycle,no,regular
8093698,highway,crossing,regular
8093698,crossing,traffic_signals,regular
8093698,crossing_ref,puffin,regular
8093701,source,survey,regular
8093701,highway,crossing,regular
8093701,crossing,traffic_signals,regular
8093701,crossing_ref,puffin,regular
8093704,highway,traffic_signals,regular
8093705,highway,traffic_signals,regular
8093709,traffic_calming,table,regular
8584543,created_by,JOSM,regular
13337520,created_by,JOSM,regular
13337521,created_by,JOSM,regular
13337522,created_by,JOSM,regular
13337523,created_by,JOSM,regular
13337525,created_by,JOSM,regular
13337526,created_by,JOSM,regular
13337527,created_by,JOSM,regular
13337528,created_by,JOSM,regular
13337538,created_by,JOSM,regular
13337543,created_by,JOSM,regular
13387916,highway,traffic_signals,regular
13387920,created_by,JOSM,regular
13387922,created_by,JOSM,regular
13387926,created_by,JOSM,regular
13387935,created_by,JOSM,regular
13387937,highway,traffic_signals,regular
13387937,crossing,pedestrian_scramble,regular
13387944,created_by,JOSM,regular
14913680,highway,traffic_signals,regular
14913681,highway,traffic_signals,regular
14913701,highway,traffic_signals,regular
14913701,description,Cycle detection loops in operation,regular
14959442,highway,mini_roundabout,regular
14959442,direction,clockwise,regular
14959446,highway,crossing,regular
14961117,note,Street lighting more-or-less starts here,regular
14961119,created_by,JOSM,regular
15431272,highway,traffic_signals,regular
15431329,note,30 mph - NSL transition,regular
