id,nodes,version
1881406,41,1
1881407,7,1
1881408,4,1
1881413,19,1
1881414,20,1
1881431,4,1
3030266,11,1
3030381,6,1
3030888,6,1
3031558,5,1
3031602,2,1
3128387,18,1
3128389,15,1
3128391,14,1
3128570,13,1
3128574,2,1
3217814,15,1
3218253,38,1
3241002,5,1
3241007,3,1
3241020,8,1
3241037,5,1
3241048,6,1
3244947,4,1
3244961,10,1
3245155,17,1
3261872,15,1
3291925,7,1
3291976,10,1
3292166,8,1
3292985,4,1
3292986,5,1
3293397,4,1
3293402,30,1
3293405,10,1
3293406,10,1
3301612,6,1
3373068,2,1
3373129,6,1
3374382,7,1
3374384,14,1
3383107,13,1
3384051,7,1
3384861,3,1
3576143,5,1
3576144,27,1
3576145,6,1
3576146,7,1
3576147,7,1
3576149,11,1
3576150,2,1
3576152,10,1
3576153,9,1
3576154,3,1
3576155,16,1
3576157,8,1
3576159,14,1
3576160,8,1
3576162,14,1
3576164,5,1
3576166,11,1
3576167,9,1
3576168,3,1
3576169,7,1
3576170,8,1
3576172,8,1
3576174,6,1
3576178,10,1
3576179,6,1
3576180,4,1
3576182,4,1
3576183,2,1
3576184,12,1
3576186,11,1
3576187,4,1
3576188,7,1
3576190,5,1
3576191,3,1
3576192,8,1
3576193,6,1
3576194,3,1
3576195,7,1
3576196,6,1
3576197,5,1
3576198,2,1
3576199,3,1
3576200,3,1
3576404,2,1
3576405,20,1
3576406,25,1
3650818,25,1
3651125,2,1
3651889,12,1
3651891,11,1
3663086,4,1
3663087,4,1
3663192,13,1
3665586,7,1
3665587,15,1
3665588,38,1
3665590,11,1
3665592,2,1
3665593,27,1
3665594,4,1
3665596,8,1
3665597,5,1
3665598,10,1
3665599,3,1
3665601,12,1
3665602,12,1
3665604,6,1
3665605,12,1
3665606,11,1
3665611,6,1
3665612,4,1
3665613,7,1
3665614,6,1
3665615,4,1
3665616,7,1
3665617,2,1
3665618,2,1
3665619,10,1
3665620,7,1
3665621,4,1
3665622,19,1
3665623,2,1
3665624,2,1
3665625,7,1
3665626,11,1
3665627,3,1
3665628,10,1
3665629,7,1
3665630,6,1
3665631,2,1
3665632,2,1
3665633,4,1
3665634,5,1
3665655,2,1
3665656,7,1
3665657,18,1
3665658,5,1
3667017,2,1
3667018,4,1
3667019,4,1
3667020,2,1
3667021,4,1
3667022,17,1
3667023,7,1
3667024,2,1
3667025,5,1
3667027,21,1
3667028,15,1
3667029,36,1
3667030,29,1
3667031,2,1
3667032,3,1
3667033,3,1
3667034,14,1
3667035,4,1
3667036,13,1
3667037,5,1
3667038,12,1
3667040,2,1
3667049,2,1
3676782,22,1
3676783,4,1
3676785,5,1
3677108,4,1
3677957,10,1
3677959,8,1
3677960,16,1
3677961,7,1
3678087,20,1
3678089,50,1
3678090,15,1
3678094,5,1
3678095,4,1
3678139,10,1
3678140,11,1
3678141,10,1
3678146,18,1
3678161,2,1
3678163,65,1
3693992,24,1
3699430,4,1
3702163,2,1
3702166,3,1
3702167,9,1
3702169,5,1
3702171,2,1
3702172,2,1
3702173,3,1
3702174,26,1
3702176,18,1
3702178,2,1
3702179,3,1
3702181,3,1
3702183,8,1
3702184,6,1
3702185,14,1
3702186,39,1
3702188,17,1
3702189,7,1
3702190,5,1
3702191,11,1
3702192,2,1
3702195,43,1
3702196,18,1
3702198,8,1
3702199,3,1
3702200,2,1
3702201,3,1
3702202,2,1
3702206,22,1
3702208,4,1
3702209,6,1
3702210,2,1
3702211,4,1
3702212,6,1
3702215,5,1
3702216,21,1
3702217,3,1
3702218,5,1
3702220,12,1
3702221,3,1
3702223,3,1
3702225,38,1
3702227,7,1
3702228,6,1
3702229,9,1
3702230,5,1
3702231,4,1
3702232,4,1
3702233,2,1
3702235,3,1
3702236,3,1
3702237,3,1
3702238,4,1
3702239,2,1
3702240,13,1
3702243,16,1
3702244,10,1
3702246,11,1
3702248,13,1
3702249,2,1
3702250,5,1
3702252,4,1
3702253,6,1
3702255,14,1
3702257,9,1
3702259,5,1
3702261,6,1
3702262,9,1
3702263,8,1
3702264,3,1
3702266,14,1
3702267,7,1
3702268,4,1
3702269,3,1
3702271,19,1
3702272,16,1
3702274,18,1
3702275,7,1
3702276,3,1
3702278,2,1
3702279,3,1
3702280,2,1
3702282,23,1
3702284,4,1
3702285,14,1
3702433,2,1
3702434,3,1
3702435,2,1
3702436,5,1
3702437,4,1
3702438,4,1
3702439,13,1
3702667,14,1
3702770,11,1
3703520,3,1
3708566,17,1
3708567,4,1
3708568,22,1
3708569,23,1
3709354,8,1
3709356,6,1
3709357,24,1
3709470,4,1
3709471,2,1
3713812,3,1
3728163,23,1
3728445,9,1
3728491,4,1
3733133,7,1
3752103,3,1
3752104,2,1
3752105,14,1
3752106,3,1
3752107,11,1
3752108,7,1
3752109,2,1
3752110,4,1
3752111,3,1
3752112,2,1
3752114,2,1
3752117,3,1
3752119,12,1
3752121,18,1
3752122,25,1
3752124,20,1
3752126,3,1
3752127,2,1
3752135,19,1
3752136,2,1
3752137,3,1
3752138,5,1
3752139,6,1
3752140,4,1
3752141,11,1
3752142,6,1
3752143,2,1
3752144,3,1
3752145,13,1
3752146,3,1
3752147,2,1
3752148,2,1
3752150,29,1
3752152,15,1
3752153,9,1
3752154,7,1
3752155,6,1
3752156,4,1
3752157,6,1
3752158,7,1
3752160,4,1
3752161,4,1
3752162,5,1
3752163,8,1
3752164,4,1
3752165,5,1
3752166,20,1
3752167,25,1
3752169,3,1
3752170,13,1
3752171,11,1
3752172,12,1
3752173,7,1
3752174,3,1
3752175,5,1
3752176,9,1
3752177,8,1
3752178,2,1
3752179,2,1
3752180,2,1
3752181,5,1
3752183,3,1
3752185,2,1
3752186,5,1
3752187,3,1
3752189,3,1
3752190,2,1
3752191,11,1
3752192,21,1
3752193,14,1
3752194,8,1
3752195,8,1
3752196,2,1
3752198,9,1
3752199,3,1
3752200,2,1
3752201,2,1
3752203,2,1
3752204,5,1
3752205,4,1
3752206,3,1
3752207,8,1
3752208,3,1
3752210,3,1
3752211,3,1
3752213,6,1
3752214,3,1
3752215,4,1
3752216,12,1
3752217,13,1
3752218,17,1
3752219,9,1
3752220,3,1
3752221,3,1
3752222,3,1
3752223,4,1
3752376,3,1
3752532,18,1
3752658,6,1
3752659,9,1
3752661,9,1
3752883,27,1
3752884,11,1
3752886,6,1
3752929,21,1
3752930,17,1
3752982,19,1
3752983,9,1
3752984,3,1
3752985,3,1
3753023,12,1
3753027,3,1
3753028,8,1
3753111,15,1
3753112,28,1
3753113,4,1
3753124,28,1
3753153,11,1
3753166,12,1
3753167,8,1
3753186,11,1
3753255,6,1
3753256,19,1
3753265,12,1
3753268,12,1
3753306,14,1
3753307,23,1
3753316,15,1
3753331,8,1
3753332,28,1
3753363,18,1
3753364,5,1
3753365,9,1
3753366,6,1
3753368,17,1
3753369,5,1
3753371,13,1
3753372,5,1
3753373,7,1
3753381,4,1
3753382,13,1
3753383,7,1
3753384,5,1
3753385,4,1
3791922,7,1
3792612,24,1
3792615,17,1
3792616,6,1
3792617,5,1
3792618,18,1
3811741,4,1
3812661,14,1
3823210,10,1
3823211,8,1
3823212,3,1
